123624,D01D1/10,D,01D,1,10,1,9,16,0,0,0,0,0,0,0,0,0,0,0
123625,D01D1/103,D,01D,1,103,2,9,16,1,0,0,0,0,0,0,0,0,0,0
123626,D01D1/106,D,01D,1,106,2,9,16,2,0,0,0,0,0,0,0,0,0,0
123627,D01D4/00,D,01D,4,00,0,10,16,0,0,0,0,0,0,0,0,0,0,0
123628,D01D4/02,D,01D,4,02,1,10,17,0,0,0,0,0,0,0,0,0,0,0
123629,D01D4/022,D,01D,4,022,2,10,17,1,0,0,0,0,0,0,0,0,0,0
123630,D01D4/025,D,01D,4,025,2,10,17,2,0,0,0,0,0,0,0,0,0,0
123631,D01D4/027,D,01D,4,027,2,10,17,3,0,0,0,0,0,0,0,0,0,0
123632,D01D4/04,D,01D,4,04,1,10,18,0,0,0,0,0,0,0,0,0,0,0
123633,D01D4/06,D,01D,4,06,1,10,19,0,0,0,0,0,0,0,0,0,0,0
123634,D01D4/08,D,01D,4,08,1,10,20,0,0,0,0,0,0,0,0,0,0,0
123635,D01D5/00,D,01D,5,00,0,11,20,0,0,0,0,0,0,0,0,0,0,0
123636,D01D5/0007,D,01D,5,0007,1,11,21,0,0,0,0,0,0,0,0,0,0,0
123637,D01D5/0015,D,01D,5,0015,2,11,21,1,0,0,0,0,0,0,0,0,0,0
123638,D01D5/0023,D,01D,5,0023,3,11,21,1,1,0,0,0,0,0,0,0,0,0
123639,D01D5/003,D,01D,5,003,3,11,21,1,2,0,0,0,0,0,0,0,0,0
123640,D01D5/0038,D,01D,5,0038,4,11,21,1,2,1,0,0,0,0,0,0,0,0
123641,D01D5/0046,D,01D,5,0046,4,11,21,1,2,2,0,0,0,0,0,0,0,0
123642,D01D5/0053,D,01D,5,0053,3,11,21,1,3,0,0,0,0,0,0,0,0,0
123643,D01D5/0061,D,01D,5,0061,2,11,21,2,0,0,0,0,0,0,0,0,0,0
123644,D01D5/0069,D,01D,5,0069,3,11,21,2,1,0,0,0,0,0,0,0,0,0
123645,D01D5/0076,D,01D,5,0076,3,11,21,2,2,0,0,0,0,0,0,0,0,0
123646,D01D5/0084,D,01D,5,0084,4,11,21,2,2,1,0,0,0,0,0,0,0,0
123647,D01D5/0092,D,01D,5,0092,3,11,21,2,3,0,0,0,0,0,0,0,0,0
123648,D01D5/02,D,01D,5,02,1,11,22,0,0,0,0,0,0,0,0,0,0,0
123649,D01D5/04,D,01D,5,04,1,11,23,0,0,0,0,0,0,0,0,0,0,0
123650,D01D5/06,D,01D,5,06,1,11,24,0,0,0,0,0,0,0,0,0,0,0
123651,D01D5/08,D,01D,5,08,1,11,25,0,0,0,0,0,0,0,0,0,0,0
123652,D01D5/082,D,01D,5,082,2,11,25,1,0,0,0,0,0,0,0,0,0,0
123653,D01D5/084,D,01D,5,084,2,11,25,2,0,0,0,0,0,0,0,0,0,0
123654,D01D5/088,D,01D,5,088,2,11,25,3,0,0,0,0,0,0,0,0,0,0
123655,D01D5/0885,D,01D,5,0885,3,11,25,3,1,0,0,0,0,0,0,0,0,0
123656,D01D5/092,D,01D,5,092,3,11,25,3,2,0,0,0,0,0,0,0,0,0
123657,D01D5/096,D,01D,5,096,2,11,25,4,0,0,0,0,0,0,0,0,0,0
123658,D01D5/098,D,01D,5,098,2,11,25,5,0,0,0,0,0,0,0,0,0,0
123659,D01D5/0985,D,01D,5,0985,3,11,25,5,1,0,0,0,0,0,0,0,0,0
123660,D01D5/10,D,01D,5,10,2,11,25,6,0,0,0,0,0,0,0,0,0,0
123661,D01D5/11,D,01D,5,11,1,11,26,0,0,0,0,0,0,0,0,0,0,0
123662,D01D5/12,D,01D,5,12,1,11,27,0,0,0,0,0,0,0,0,0,0,0
123663,D01D5/14,D,01D,5,14,2,11,27,1,0,0,0,0,0,0,0,0,0,0
123664,D01D5/16,D,01D,5,16,2,11,27,2,0,0,0,0,0,0,0,0,0,0
